Categoria;Cargo;Vantagens;Descontos ;Líquido;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6469;954;5515;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;894;141;753;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4189;332;3857;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10016;1957;8059;;
VEREADORES;VEREADOR;14635;2988;11647;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
ESTATUTARIOS;ASSESSOR EM TAQUIGRAFIA;17062;4749;12314;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;1062;22;1040;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5558;672;4886;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3362;182;3180;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7230;1191;6039;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8624;1522;7102;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6712;944;5767;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;870;5327;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5634;633;5001;;
VEREADORES;VEREADOR;14635;2884;11751;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;14765;3263;11502;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3705;231;3474;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6712;1035;5676;;
VEREADORES;VEREADOR;14635;2988;11647;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8722;1601;7121;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3220;169;3051;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9260;1749;7511;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3880;23;3856;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11397;2337;9060;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;25939;6284;19655;;
A DISPOSICAO;SERVIDOR URB DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8923;1656;7267;;
VEREADORES;VEREADOR;14635;2988;11647;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4191;361;3830;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3589;213;3377;;
A DISPOSICAO;SERVIDOR URB DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8681;1590;7091;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7435;1247;6187;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8444;1473;6971;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;14935;3258;11678;;
